company_name,industry,job_title,experience_level,employment_type,posted_date,company_size,city,country,min_salary,max_salary,avg_salary,year,month,day_name,quarter,AWS,Azure,BigQuery,C++,CUDA,Excel,FastAPI,Flask,GCP,Hugging Face,KDB+,Keras,LangChain,MLflow,NumPy,Pandas,Power BI,PyTorch,Python,R,Reinforcement Learning,SQL,Scikit-learn,TensorFlow,skills_count
Young-Anderson,Education,AI Researcher,Senior,Contract,2024-10-19,Startup,East Ryantown,Belize,104105.0,197396.0,150750.5,2024,October,Saturday,Q4,1,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,1,1,8
"Conway, Hernandez and Perez",Finance,NLP Engineer,Entry,Full-time,2023-11-18,Large,Nunezside,Togo,148487.0,177884.0,163185.5,2023,November,Saturday,Q4,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,1,5
Anderson and Sons,Automotive,Quant Researcher,Senior,Internship,2023-11-30,Large,Jadeview,Burkina Faso,80455.0,100773.0,90614.0,2023,November,Thursday,Q4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,6
Ware-Ellis,Automotive,NLP Engineer,Senior,Full-time,2024-10-13,Startup,Leeview,Morocco,115657.0,181953.0,148805.0,2024,October,Sunday,Q4,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,6
"Snyder, Simpson and Maxwell",Tech,AI Product Manager,Senior,Contract,2024-01-16,Large,East Robert,Cape Verde,97381.0,144492.0,120936.5,2024,January,Tuesday,Q1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,6
Ellis Ltd,Retail,AI Researcher,Entry,Internship,2023-12-25,Startup,Bullockton,North Korea,55751.0,133772.0,94761.5,2023,December,Monday,Q4,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,5
"Blair, Ruiz and Sanchez",Retail,Computer Vision Engineer,Entry,Internship,2025-07-23,Mid,Perezview,Senegal,90552.0,188412.0,139482.0,2025,July,Wednesday,Q3,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,6
Griffin-Dalton,Education,ML Engineer,Entry,Contract,2024-01-02,Large,Knightmouth,Afghanistan,69230.0,128642.0,98936.0,2024,January,Tuesday,Q1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,6
Alexander PLC,Automotive,Data Analyst,Entry,Contract,2025-04-22,Mid,Lake Marcia,Malta,71489.0,149503.0,110496.0,2025,April,Tuesday,Q2,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,7
"Velazquez, Brewer and Murphy",E-commerce,Quant Researcher,Senior,Remote,2025-05-22,Startup,Mooreville,Nepal,57739.0,75267.0,66503.0,2025,May,Thursday,Q2,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,7
Bean LLC,Education,Quant Researcher,Senior,Internship,2025-09-12,Large,Port Matthewhaven,Sao Tome and Principe,149192.0,228942.0,189067.0,2025,September,Friday,Q3,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,1,0,1,8
Rogers-Villanueva,E-commerce,ML Engineer,Mid,Internship,2024-06-09,Large,New Kenneth,Dominican Republic,91346.0,160302.0,125824.0,2024,June,Sunday,Q2,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4
Taylor PLC,Tech,Data Analyst,Senior,Remote,2024-05-10,Mid,Schroederport,Denmark,56886.0,146884.0,101885.0,2024,May,Friday,Q2,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,6
Lee Group,Tech,Quant Researcher,Entry,Full-time,2024-12-18,Large,Taylorstad,Mauritania,56258.0,108983.0,82620.5,2024,December,Wednesday,Q4,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,7
"Miller, Browning and Shaw",Tech,AI Product Manager,Senior,Full-time,2024-01-25,Large,Bryanburgh,Slovakia,139096.0,176960.0,158028.0,2024,January,Thursday,Q1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,4
"Branch, Elliott and Ramirez",Automotive,NLP Engineer,Entry,Remote,2025-08-21,Large,New Micheletown,New Zealand,120316.0,133437.0,126876.5,2025,August,Thursday,Q3,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,5
"Reyes, Vincent and Hayes",Finance,AI Product Manager,Mid,Internship,2025-01-31,Large,Kathleenton,Iraq,48868.0,94542.0,71705.0,2025,January,Friday,Q1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,4
Rose Ltd,Finance,NLP Engineer,Entry,Full-time,2025-08-13,Mid,South Brianmouth,Jamaica,108994.0,183026.0,146010.0,2025,August,Wednesday,Q3,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,8
Miller-Bishop,Healthcare,AI Product Manager,Senior,Remote,2024-12-02,Large,West Stephaniefort,France,118921.0,192736.0,155828.5,2024,December,Monday,Q4,0,0,0,0,0,1,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,6
Krueger-Tanner,E-commerce,AI Product Manager,Entry,Internship,2024-03-25,Mid,Port Rebecca,United States,57113.0,75630.0,66371.5,2024,March,Monday,Q1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,1,8
"Johnson, Castaneda and Duke",Tech,AI Product Manager,Mid,Full-time,2025-05-12,Startup,Powellshire,Jamaica,70702.0,164914.0,117808.0,2025,May,Monday,Q2,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,5
"Riley, Beltran and Lucero",E-commerce,Data Analyst,Entry,Full-time,2025-06-09,Startup,North Natalie,Ecuador,114639.0,183492.0,149065.5,2025,June,Monday,Q2,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,5
Perez-Williams,Healthcare,AI Product Manager,Senior,Contract,2024-06-04,Mid,West Denisetown,Vanuatu,110697.0,201149.0,155923.0,2024,June,Tuesday,Q2,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,5
Silva-Russell,Retail,Data Analyst,Senior,Remote,2024-09-13,Mid,Petersonchester,Uganda,68664.0,136603.0,102633.5,2024,September,Friday,Q3,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,1,7
"Matthews, Bailey and Banks",Education,NLP Engineer,Entry,Remote,2024-09-08,Large,Daughertyborough,Saudi Arabia,64445.0,150617.0,107531.0,2024,September,Sunday,Q3,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,6
Santiago-King,Education,Quant Researcher,Entry,Remote,2024-10-12,Mid,Lake Linda,Austria,74954.0,114010.0,94482.0,2024,October,Saturday,Q4,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,7
"Caldwell, Richardson and Hines",Retail,AI Researcher,Senior,Internship,2025-04-07,Large,North Jesusfurt,Albania,83014.0,110116.0,96565.0,2025,April,Monday,Q2,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,6
"Washington, Smith and Hicks",Automotive,ML Engineer,Senior,Contract,2024-08-22,Startup,West Regina,Antigua and Barbuda,146097.0,192440.0,169268.5,2024,August,Thursday,Q3,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,5
"Cummings, Ball and Owens",Healthcare,Data Analyst,Entry,Full-time,2025-03-20,Mid,Boydtown,Haiti,50137.0,121449.0,85793.0,2025,March,Thursday,Q1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,8
"Harrington, Gross and Kim",Tech,NLP Engineer,Senior,Full-time,2024-11-25,Startup,Lake Lisamouth,Costa Rica,96091.0,176352.0,136221.5,2024,November,Monday,Q4,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4
"Bryan, Harding and Hamilton",Finance,AI Product Manager,Senior,Contract,2025-05-03,Mid,Campbellburgh,Poland,118753.0,156568.0,137660.5,2025,May,Saturday,Q2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,1,0,0,0,1,7
"Miller, Cox and Clark",Tech,Quant Researcher,Entry,Contract,2023-09-24,Large,Jacksonberg,Mauritania,56022.0,87385.0,71703.5,2023,September,Sunday,Q3,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,5
Watson-Boyle,Education,NLP Engineer,Senior,Full-time,2024-08-22,Mid,Geraldville,Trinidad and Tobago,65449.0,93935.0,79692.0,2024,August,Thursday,Q3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,4
"Montoya, Chambers and Bennett",E-commerce,Quant Researcher,Entry,Remote,2024-02-09,Startup,Odommouth,Jordan,53432.0,134809.0,94120.5,2024,February,Friday,Q1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,5
"Fields, Porter and Martinez",Finance,Quant Researcher,Entry,Full-time,2025-02-10,Mid,New Dawn,Cape Verde,91250.0,117518.0,104384.0,2025,February,Monday,Q1,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,7
"Gallegos, Ruiz and Ross",E-commerce,Data Scientist,Senior,Contract,2024-10-24,Large,Proctorbury,Croatia,56274.0,130011.0,93142.5,2024,October,Thursday,Q4,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,6
Ingram LLC,Retail,Computer Vision Engineer,Mid,Internship,2025-07-28,Large,Gonzalezbury,Taiwan,100532.0,123437.0,111984.5,2025,July,Monday,Q3,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,1,7
Moody Inc,E-commerce,AI Product Manager,Senior,Remote,2023-11-13,Mid,West Benjamin,Djibouti,133743.0,144254.0,138998.5,2023,November,Monday,Q4,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,6
Walls-Kidd,Tech,AI Product Manager,Entry,Remote,2023-10-20,Startup,Wheelermouth,Uruguay,44510.0,92759.0,68634.5,2023,October,Friday,Q4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4
Mullins Group,Automotive,NLP Engineer,Entry,Contract,2025-05-16,Mid,Brianview,Djibouti,88577.0,147284.0,117930.5,2025,May,Friday,Q2,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,7
King Group,Healthcare,NLP Engineer,Mid,Full-time,2024-06-04,Large,New Jeffreyhaven,United Arab Emirates,129724.0,218042.0,173883.0,2024,June,Tuesday,Q2,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,7
Hansen-Stone,Retail,Quant Researcher,Entry,Internship,2024-03-15,Mid,West William,Indonesia,41023.0,80713.0,60868.0,2024,March,Friday,Q1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,7
Gardner Group,Retail,ML Engineer,Entry,Internship,2025-04-16,Startup,Port Monicaborough,Kuwait,106371.0,127550.0,116960.5,2025,April,Wednesday,Q2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,1,7
Leonard-Duke,Retail,AI Researcher,Mid,Internship,2025-01-04,Mid,Patrickfurt,Bangladesh,56530.0,75014.0,65772.0,2025,January,Saturday,Q1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,5
Patton and Sons,Retail,NLP Engineer,Entry,Internship,2024-03-14,Startup,West Melissa,Marshall Islands,119266.0,200044.0,159655.0,2024,March,Thursday,Q1,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1,8
Vazquez PLC,Automotive,AI Product Manager,Senior,Remote,2025-03-20,Large,New Matthew,Seychelles,131807.0,227051.0,179429.0,2025,March,Thursday,Q1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,4
Romero PLC,Tech,ML Engineer,Senior,Internship,2024-06-22,Startup,Christianland,Portugal,50349.0,109003.0,79676.0,2024,June,Saturday,Q2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,4
Howell PLC,Healthcare,Quant Researcher,Senior,Contract,2024-09-18,Mid,Millermouth,Central African Republic,56567.0,116937.0,86752.0,2024,September,Wednesday,Q3,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,6
Beltran PLC,Retail,Data Analyst,Entry,Full-time,2025-04-09,Large,Alexiston,Uruguay,137094.0,205303.0,171198.5,2025,April,Wednesday,Q2,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,7
Browning Inc,Healthcare,ML Engineer,Senior,Internship,2024-12-25,Large,Shariborough,Bolivia,123710.0,203362.0,163536.0,2024,December,Wednesday,Q4,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,6
Strong-Davis,Healthcare,Data Scientist,Mid,Contract,2024-05-30,Startup,Jasonbury,Democratic Republic of the Congo,120259.0,184163.0,152211.0,2024,May,Thursday,Q2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,6
"Richardson, Burton and Stephens",Finance,Quant Researcher,Entry,Remote,2024-09-23,Mid,Timothyland,Liberia,131912.0,166499.0,149205.5,2024,September,Monday,Q3,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,5
Salinas-Taylor,Retail,NLP Engineer,Entry,Internship,2025-09-13,Mid,Georgeport,Ivory Coast,74468.0,85718.0,80093.0,2025,September,Saturday,Q3,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,4
Hunt Ltd,Finance,Data Analyst,Entry,Remote,2025-09-13,Startup,Jacksonfort,Papua New Guinea,43013.0,128940.0,85976.5,2025,September,Saturday,Q3,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,5
Carr Group,Education,Data Scientist,Entry,Full-time,2024-09-23,Startup,Murphymouth,Gambia,55605.0,70305.0,62955.0,2024,September,Monday,Q3,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,1,1,1,1,0,0,0,9
Harris LLC,E-commerce,NLP Engineer,Entry,Full-time,2024-10-25,Mid,South Randytown,Panama,99742.0,185700.0,142721.0,2024,October,Friday,Q4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,5
Reyes-Lowery,Automotive,AI Product Manager,Mid,Internship,2024-07-26,Startup,Samanthaborough,Vatican City,103675.0,173394.0,138534.5,2024,July,Friday,Q3,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,5
"Charles, Henry and Stark",Education,Computer Vision Engineer,Mid,Remote,2024-04-25,Startup,Valenzuelaborough,Burkina Faso,126438.0,181388.0,153913.0,2024,April,Thursday,Q2,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,5
"Hill, Lucas and Alvarez",Healthcare,NLP Engineer,Mid,Remote,2025-01-16,Mid,Adamport,Saint Lucia,45855.0,71005.0,58430.0,2025,January,Thursday,Q1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,4
Stone-Lee,Tech,AI Researcher,Mid,Contract,2024-06-24,Large,North Rebecca,Lesotho,77831.0,145508.0,111669.5,2024,June,Monday,Q2,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,4
"Johnson, Williams and Perkins",Finance,Quant Researcher,Mid,Internship,2024-11-11,Mid,Bennettland,Senegal,91591.0,110529.0,101060.0,2024,November,Monday,Q4,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,7
Hays-Smith,Finance,AI Researcher,Entry,Full-time,2024-04-21,Mid,North Kristin,Saint Lucia,115140.0,139207.0,127173.5,2024,April,Sunday,Q2,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,5
Hansen-Martin,Healthcare,ML Engineer,Senior,Full-time,2024-11-08,Startup,Jessicaborough,Barbados,52749.0,82725.0,67737.0,2024,November,Friday,Q4,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,6
Calderon Inc,Retail,Quant Researcher,Mid,Remote,2024-11-29,Startup,Alexanderfort,Portugal,59860.0,82154.0,71007.0,2024,November,Friday,Q4,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,5
Brown Group,Healthcare,AI Researcher,Senior,Contract,2025-08-19,Startup,Jameston,Romania,134954.0,197152.0,166053.0,2025,August,Tuesday,Q3,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,7
"Robertson, Davis and Gray",Tech,Data Analyst,Senior,Contract,2025-08-09,Startup,Martintown,Taiwan,89200.0,180591.0,134895.5,2025,August,Saturday,Q3,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,6
"Anderson, Lawrence and Drake",Automotive,AI Researcher,Entry,Full-time,2025-06-28,Startup,Annastad,Austria,54169.0,136576.0,95372.5,2025,June,Saturday,Q2,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,7
Lynn-Burke,Healthcare,Data Scientist,Entry,Remote,2024-12-17,Startup,East Carolport,Bosnia and Herzegovina,77375.0,151774.0,114574.5,2024,December,Tuesday,Q4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1,0,5
Travis-Glass,Healthcare,AI Product Manager,Mid,Internship,2025-08-11,Large,Simmonsside,Malawi,44125.0,73147.0,58636.0,2025,August,Monday,Q3,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,5
Leonard LLC,Education,Data Analyst,Entry,Internship,2025-02-05,Mid,Bellfort,Maldives,68767.0,93624.0,81195.5,2025,February,Wednesday,Q1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,5
"Kim, Allison and Ryan",Retail,ML Engineer,Mid,Contract,2024-11-29,Large,Bowersberg,Bangladesh,43289.0,102091.0,72690.0,2024,November,Friday,Q4,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0,5
"Ellis, Townsend and Harrison",Finance,AI Product Manager,Entry,Internship,2024-05-19,Mid,South Andreamouth,Afghanistan,99708.0,126007.0,112857.5,2024,May,Sunday,Q2,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,1,6
"Steele, Aguilar and Jackson",Finance,ML Engineer,Entry,Contract,2025-04-06,Large,North Amandamouth,Ireland,57692.0,81756.0,69724.0,2025,April,Sunday,Q2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,1,1,0,0,1,7
Peck Group,Finance,AI Researcher,Mid,Full-time,2025-09-17,Mid,West Christopherville,Croatia,54082.0,149736.0,101909.0,2025,September,Wednesday,Q3,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,4
Higgins-Hall,E-commerce,Data Analyst,Mid,Contract,2024-03-16,Startup,Suttonland,Maldives,101456.0,135672.0,118564.0,2024,March,Saturday,Q1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,1,0,1,0,7
"Hicks, Sullivan and Kline",Education,AI Researcher,Mid,Contract,2025-03-15,Startup,Steveborough,Liberia,77948.0,107734.0,92841.0,2025,March,Saturday,Q1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,5
Marquez and Sons,Retail,AI Researcher,Mid,Contract,2024-02-19,Mid,East Aaron,Iraq,143838.0,191740.0,167789.0,2024,February,Monday,Q1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,5
Moore-Mann,Education,Quant Researcher,Entry,Contract,2024-02-20,Large,Melvintown,Haiti,64090.0,112937.0,88513.5,2024,February,Tuesday,Q1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,6
Ramirez Ltd,Finance,ML Engineer,Entry,Internship,2025-07-11,Large,South Jeremyton,Armenia,67555.0,113613.0,90584.0,2025,July,Friday,Q3,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,4
"Garcia, Drake and Gonzalez",Finance,Computer Vision Engineer,Senior,Full-time,2024-12-14,Startup,Jamesfurt,Botswana,73755.0,149397.0,111576.0,2024,December,Saturday,Q4,0,0,1,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,7
"Edwards, Jackson and Baker",Automotive,Data Analyst,Entry,Contract,2024-11-11,Large,Sullivanshire,Samoa,147219.0,223596.0,185407.5,2024,November,Monday,Q4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,4
Turner Group,E-commerce,NLP Engineer,Entry,Internship,2025-02-13,Mid,Mariaburgh,Austria,120574.0,164253.0,142413.5,2025,February,Thursday,Q1,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,8
Castro PLC,Education,Quant Researcher,Senior,Internship,2023-11-30,Startup,West Tammie,Kuwait,76450.0,162635.0,119542.5,2023,November,Thursday,Q4,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,6
"Coffey, Shannon and Mclean",Automotive,ML Engineer,Entry,Full-time,2025-05-30,Startup,Johnfurt,Mauritania,105179.0,161042.0,133110.5,2025,May,Friday,Q2,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0,1,1,0,0,1,8
Wilcox Ltd,Automotive,Computer Vision Engineer,Mid,Full-time,2024-03-07,Startup,Robertsonbury,Vietnam,100296.0,111823.0,106059.5,2024,March,Thursday,Q1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,5
Mcbride-Skinner,E-commerce,AI Product Manager,Entry,Full-time,2025-06-19,Mid,Port Daleborough,Malawi,53381.0,103735.0,78558.0,2025,June,Thursday,Q2,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,7
Alexander Inc,E-commerce,AI Researcher,Senior,Full-time,2024-06-27,Large,East Lynnchester,Finland,116301.0,214253.0,165277.0,2024,June,Thursday,Q2,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,5
Ramsey-Barnes,Tech,AI Researcher,Entry,Contract,2023-11-29,Mid,Jackburgh,Barbados,140443.0,182231.0,161337.0,2023,November,Wednesday,Q4,1,1,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,1,0,0,0,0,9
Clark and Sons,Retail,NLP Engineer,Entry,Contract,2024-07-10,Mid,East Samuelfort,Palestine,92799.0,159163.0,125981.0,2024,July,Wednesday,Q3,0,1,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,6
Blair-Shaffer,Tech,AI Product Manager,Entry,Contract,2024-08-29,Startup,Lindseymouth,Cameroon,48181.0,75949.0,62065.0,2024,August,Thursday,Q3,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,6
Salazar-Clark,Retail,Quant Researcher,Entry,Full-time,2024-03-21,Mid,New Samanthaport,Monaco,72489.0,167549.0,120019.0,2024,March,Thursday,Q1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,8
Jones-Simpson,E-commerce,Computer Vision Engineer,Senior,Internship,2023-11-08,Mid,Charlottechester,Belize,140658.0,230833.0,185745.5,2023,November,Wednesday,Q4,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4
Johnson-Jackson,Finance,Data Scientist,Entry,Remote,2025-07-06,Large,Lake Meganborough,Mexico,130536.0,167334.0,148935.0,2025,July,Sunday,Q3,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,6
Lane-Rodriguez,Finance,Quant Researcher,Senior,Full-time,2024-03-30,Startup,South Katherine,Germany,81950.0,133686.0,107818.0,2024,March,Saturday,Q1,0,1,0,0,0,1,0,1,0,1,1,0,1,0,0,1,0,1,0,0,0,0,1,0,9
"Jones, Thompson and Gomez",Education,Quant Researcher,Senior,Contract,2024-05-04,Large,West Gregorychester,Ethiopia,134169.0,173479.0,153824.0,2024,May,Saturday,Q2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,4
"Ho, Mitchell and King",Automotive,ML Engineer,Senior,Contract,2025-03-16,Large,Port Carolineside,Singapore,40824.0,92636.0,66730.0,2025,March,Sunday,Q1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1,5
Mathis-Davila,Tech,Quant Researcher,Mid,Internship,2024-10-13,Startup,West Bethchester,Croatia,94799.0,136985.0,115892.0,2024,October,Sunday,Q4,1,0,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0,1,0,1,0,1,0,0,9
Perez-Hawkins,Automotive,Computer Vision Engineer,Mid,Internship,2025-07-28,Large,New Frederickstad,Namibia,83771.0,94234.0,89002.5,2025,July,Monday,Q3,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,4
"Perez, Butler and Carroll",E-commerce,ML Engineer,Entry,Contract,2025-04-29,Mid,Lauraland,Kazakhstan,115058.0,174712.0,144885.0,2025,April,Tuesday,Q2,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,5
Ford PLC,E-commerce,Computer Vision Engineer,Mid,Contract,2025-02-07,Mid,East Robert,Serbia,119046.0,198687.0,158866.5,2025,February,Friday,Q1,0,0,0,0,1,1,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,0,8
Rivera Ltd,Retail,Computer Vision Engineer,Senior,Remote,2024-03-16,Startup,West Bonnieville,Canada,76496.0,169636.0,123066.0,2024,March,Saturday,Q1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,0,0,0,6
Thompson-White,E-commerce,Computer Vision Engineer,Senior,Remote,2025-01-02,Large,Coryfurt,Kyrgyzstan,114726.0,166530.0,140628.0,2025,January,Thursday,Q1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,6
"Johnson, Foster and Martin",Education,NLP Engineer,Mid,Remote,2023-10-22,Startup,Smithfurt,Solomon Islands,87007.0,185082.0,136044.5,2023,October,Sunday,Q4,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,5
